ms_dry_mass_kg,mission_days
666,296.24176971571546
667,296.24176971571546
668,296.24176971571546
669,296.24176971571546
670,296.24176971571546
671,296.24176971571546
672,296.24176971571546
673,296.24176971571546
674,296.24176971571546
675,296.24176971571546
676,296.24176971571546
677,296.24176971571546
678,296.24176971571546
679,296.24176971571546
680,296.24176971571546
681,296.24176971571546
682,296.24176971571546
683,296.24176971571546
684,296.24176971571546
685,296.24176971571546
686,296.24176971571546
687,296.24176971571546
688,296.24176971571546
689,296.24176971571546
690,296.24176971571546
691,296.24176971571546
692,296.24176971571546
693,296.24176971571546
694,296.24176971571546
695,296.24176971571546
696,296.24176971571546
697,296.24176971571546
698,296.24176971571546
699,296.24176971571546
700,296.24176971571546
701,296.24176971571546
702,296.24176971571546
703,296.24176971571546
704,296.24176971571546
705,296.24176971571546
706,296.24176971571546
707,296.24176971571546
708,296.24176971571546
709,296.24176971571546
710,296.24176971571546
711,296.24176971571546
712,296.24176971571546
713,296.24176971571546
714,296.24176971571546
715,296.24176971571546
716,296.24176971571546
717,296.24176971571546
718,296.24176971571546
719,296.24176971571546
720,296.24176971571546
721,296.24176971571546
722,296.24176971571546
723,296.24176971571546
724,296.24176971571546
725,296.24176971571546
726,296.24176971571546
727,296.24176971571546
728,296.24176971571546
729,296.24176971571546
730,296.24176971571546
731,296.24176971571546
732,296.24176971571546
733,296.24176971571546
734,296.24176971571546
735,296.24176971571546
736,296.24176971571546
737,296.24176971571546
738,296.24176971571546
739,296.24176971571546
740,296.24176971571546
741,296.24176971571546
742,296.24176971571546
743,296.24176971571546
744,296.24176971571546
745,296.24176971571546
746,296.24176971571546
747,296.24176971571546
748,296.24176971571546
749,296.24176971571546
750,296.24176971571546
751,296.24176971571546
752,296.24176971571546
753,296.24176971571546
754,296.24176971571546
755,296.24176971571546
756,296.24176971571546
757,296.24176971571546
758,296.24176971571546
759,296.24176971571546
760,296.24176971571546
761,296.24176971571546
762,296.24176971571546
763,296.24176971571546
764,296.24176971571546
765,296.24176971571546
766,296.24176971571546
767,296.24176971571546
768,296.24176971571546
769,296.24176971571546
770,296.24176971571546
771,296.24176971571546
772,296.24176971571546
773,296.24176971571546
774,296.24176971571546
775,296.24176971571546
776,296.24176971571546
777,296.24176971571546
778,296.24176971571546
779,296.24176971571546
780,296.24176971571546
781,296.24176971571546
782,296.24176971571546
783,296.24176971571546
784,296.24176971571546
785,296.24176971571546
786,296.24176971571546
787,296.24176971571546
788,296.24176971571546
789,296.24176971571546
790,296.24176971571546
791,296.24176971571546
792,296.24176971571546
793,296.24176971571546
794,296.24176971571546
795,296.24176971571546
796,296.24176971571546
797,296.24176971571546
798,296.24176971571546
799,296.24176971571546
800,296.24176971571546
801,296.24176971571546
802,296.24176971571546
803,296.24176971571546
804,296.24176971571546
805,296.24176971571546
806,296.24176971571546
807,296.24176971571546
808,296.24176971571546
809,296.24176971571546
810,296.24176971571546
811,296.24176971571546
812,296.24176971571546
813,296.24176971571546
814,296.24176971571546
815,296.24176971571546
816,296.24176971571546
817,296.24176971571546
818,296.24176971571546
819,296.24176971571546
820,296.24176971571546
821,296.24176971571546
822,296.24176971571546
823,296.24176971571546
824,296.24176971571546
825,296.24176971571546
826,296.24176971571546
827,296.24176971571546
828,296.24176971571546
829,296.24176971571546
830,296.24176971571546
831,296.24176971571546
832,296.24176971571546
833,296.24176971571546
834,296.24176971571546
835,296.24176971571546
836,296.24176971571546
837,296.24176971571546
838,296.24176971571546
839,296.24176971571546
840,296.24176971571546
841,296.24176971571546
842,296.24176971571546
843,296.24176971571546
844,296.24176971571546
845,296.24176971571546
846,296.24176971571546
847,296.24176971571546
848,296.24176971571546
849,296.24176971571546
850,296.24176971571546
851,296.24176971571546
852,296.24176971571546
853,296.24176971571546
854,296.24176971571546
855,296.24176971571546
856,296.24176971571546
857,296.24176971571546
858,296.24176971571546
859,296.24176971571546
860,296.24176971571546
861,296.24176971571546
862,296.24176971571546
863,296.24176971571546
864,296.24176971571546
865,296.24176971571546
866,296.24176971571546
867,296.24176971571546
868,296.24176971571546
869,296.24176971571546
870,296.24176971571546
871,296.24176971571546
872,296.24176971571546
873,296.24176971571546
874,296.24176971571546
875,296.24176971571546
876,296.24176971571546
877,296.24176971571546
878,296.24176971571546
879,296.24176971571546
880,296.24176971571546
881,296.24176971571546
882,296.24176971571546
883,296.24176971571546
884,296.24176971571546
885,296.24176971571546
886,296.24176971571546
887,296.24176971571546
888,296.24176971571546
889,296.24176971571546
890,296.24176971571546
891,296.24176971571546
892,296.24176971571546
893,296.24176971571546
894,296.24176971571546
895,296.24176971571546
896,296.24176971571546
897,296.24176971571546
898,296.24176971571546
899,296.24176971571546
900,296.24176971571546
901,296.24176971571546
902,296.24176971571546
903,296.24176971571546
904,296.24176971571546
905,296.24176971571546
906,296.24176971571546
907,296.24176971571546
908,296.24176971571546
909,296.24176971571546
910,296.24176971571546
911,296.24176971571546
912,296.24176971571546
913,296.24176971571546
914,296.24176971571546
915,296.24176971571546
916,296.24176971571546
917,296.24176971571546
918,296.24176971571546
919,296.24176971571546
920,296.24176971571546
921,296.24176971571546
922,296.24176971571546
923,296.24176971571546
924,296.24176971571546
925,296.24176971571546
926,296.24176971571546
927,296.24176971571546
928,296.24176971571546
929,296.24176971571546
930,296.24176971571546
931,296.24176971571546
932,296.24176971571546
933,296.24176971571546
934,296.24176971571546
935,296.24176971571546
936,296.24176971571546
937,296.24176971571546
938,296.24176971571546
939,296.24176971571546
940,296.24176971571546
941,296.24176971571546
942,296.24176971571546
943,296.24176971571546
944,296.24176971571546
945,296.24176971571546
946,296.24176971571546
947,296.24176971571546
948,296.24176971571546
949,296.24176971571546
950,296.24176971571546
951,296.24176971571546
952,296.24176971571546
953,296.24176971571546
954,296.24176971571546
955,296.24176971571546
956,296.24176971571546
957,296.24176971571546
958,296.24176971571546
959,296.24176971571546
960,296.24176971571546
961,296.24176971571546
962,296.24176971571546
963,296.24176971571546
964,296.24176971571546
965,296.24176971571546
966,296.24176971571546
967,296.24176971571546
968,296.24176971571546
969,296.24176971571546
970,296.24176971571546
971,296.24176971571546
972,296.24176971571546
973,296.24176971571546
974,296.24176971571546
975,296.24176971571546
976,296.24176971571546
977,296.24176971571546
978,296.24176971571546
979,296.24176971571546
980,296.24176971571546
981,296.24176971571546
982,296.24176971571546
983,296.24176971571546
984,296.24176971571546
985,296.24176971571546
986,296.24176971571546
987,296.24176971571546
988,296.24176971571546
989,296.24176971571546
990,296.24176971571546
991,296.24176971571546
992,296.24176971571546
993,296.24176971571546
994,296.24176971571546
995,296.24176971571546
996,296.24176971571546
997,296.24176971571546
998,296.24176971571546
999,296.24176971571546
1000,296.24176971571546
1001,296.24176971571546
1002,296.24176971571546
1003,296.24176971571546
1004,297.26447151006096
1005,297.26447151006096
1006,297.26447151006096
1007,297.26447151006096
1008,297.26447151006096
1009,297.26447151006096
1010,297.26447151006096
1011,297.26447151006096
1012,297.26447151006096
1013,297.26447151006096
1014,297.26447151006096
1015,297.26447151006096
1016,297.26447151006096
1017,297.26447151006096
1018,297.26447151006096
1019,297.26447151006096
1020,297.26447151006096
1021,297.26447151006096
1022,297.26447151006096
1023,297.26447151006096
1024,297.26447151006096
1025,297.26447151006096
1026,297.26447151006096
1027,297.26447151006096
1028,297.26447151006096
1029,297.26447151006096
1030,297.26447151006096
1031,297.26447151006096
1032,297.26447151006096
1033,297.26447151006096
1034,297.26447151006096
1035,297.26447151006096
