mission_days,total_delta_v_m_s
179.6740095950817,539.7285823013108
180.0877835394299,536.9352996898322
180.931005542351,531.7464259636768
180.96016014514163,531.5534639739835
179.69042269973733,540.2297061693632
179.69644505419166,540.2219478058698
179.67032723820637,540.629844137861
180.64048104448767,534.2721469800489
179.69410506337857,540.9941959451389
180.95110101064785,533.0120396075049
180.62908184129037,535.7749807113424
179.67634958159562,542.3304024601434
179.49226546898723,543.8067931346055
179.76512249333555,543.0722626088714
179.66495064663735,543.7521503526702
179.76746253567066,543.9610907314172
181.13391525802825,535.273952220557
181.1114792638469,536.1922659875771
181.13157520485703,536.4091287456255
181.1429740482596,537.0797429852953
181.67986094204653,534.0673074463792
181.11381931271893,538.4311577606106
179.84776418537444,547.5352765976019
179.84542416225236,547.916147829538
179.841741747764,547.9665103890609
180.71572947915445,542.1255629264738
179.7359670612883,548.9877313312423
181.10242010952163,539.933991491904
179.7450263444229,550.7836660745319
179.52142082716085,554.5688260026803
179.5274431816152,554.561067639187
179.4899253701225,555.3897375138015
179.52510319080213,555.3333157784563
179.77652098304083,553.661256648474
180.7820991380714,547.3511594408221
180.8871445388698,546.9812276981157
179.74736638245886,555.0465624951796
180.8661033675993,548.837436584063
179.94794183829998,555.6001795116771
179.9164467071374,556.0544896943202
179.49594770723283,559.587708239012
179.9278459040558,557.0490683659547
179.9187867817815,557.334694724199
180.7934976451207,553.734424391721
179.5050070418895,563.0447192441167
180.79115813502636,554.8649604800621
180.7620029891588,555.0625629064826
179.5013246850142,563.9459810806667
180.48703394880815,557.7205591930771
180.0931475687941,560.565706773816
180.6633123381813,557.3917158076969
180.96491850037987,555.6733472549239
179.5073470284034,565.6465394029493
180.94248250619844,556.591661021944
180.96257844720859,556.8085237799924
179.66181299361537,565.649386119353
179.65947297404225,565.944368697039
180.97397729061115,557.4791380196622
180.74368630659612,559.3732577251103
179.69096736425254,566.6198952389424
179.74566520418676,566.4709674861128
179.67087190272161,567.0200332074402
181.20655967695558,556.7888476661437
180.94482255507054,558.8305527949775
179.39321580545896,569.4370784139561
181.19014635435752,557.3700312196192
179.7657603620166,567.2779788470231
181.21024204059682,557.5533374419196
179.67876742772606,567.9346716319687
179.67642740460397,568.315542863905
179.67274499011558,568.3659054234279
181.18646399748224,558.2712930561693
179.76810040435174,568.1668069695689
180.93342335187324,560.3333865262709
179.41625937932182,571.3163277609452
179.7771598428047,569.3485580600551
179.74800524222272,570.7338639067606
181.113826505902,561.5680813671077
180.69803568117874,564.4177940385762
180.54672692596225,565.4416998692795
180.70405803563312,564.4100356750828
180.68162235858074,564.9989775920517
180.66654094935558,565.3411278357275
180.70171804482004,565.1822838143521
180.67794000170545,565.9002394286017
179.4815039695514,574.2114515606861
180.52967148748326,567.5394686532729
180.5356938419376,567.5317102897794
180.6855085048643,566.5626258634295
180.70794402633243,566.6930629821892
180.51325816488523,568.1206522067484
180.6696319502695,567.120578422755
180.40989509985565,569.0158318386273
180.49817675566007,568.4628024504243
180.53335385112453,568.3039584290487
180.7181477812214,567.3806227324826
180.717003289277,567.4501028611477
179.42179363955992,576.2493630271227
180.5095758080099,569.0219140432985
180.70560397316117,567.8282395072576
180.63813729430757,568.4487169375168
181.36810551622864,563.5392031293508
181.36442310174027,563.5895656888737
179.46750872574748,576.4572012691119
179.8422864122792,574.3566994586402
180.68784855373636,568.801517636463
179.94857225885377,574.2398206702587
180.69710660995088,569.2368316184298
179.91707712769116,574.6941308529017
180.65823276260448,569.7143305813449
180.51559815139913,570.722472365581
179.41945367150885,578.2054218666237
180.45797901498693,571.5112443540693
180.79413650488456,569.4217258033019
180.6764496187781,570.2232655289897
182.2318662384303,559.7670118447821
179.92847632460956,575.6887095245362
180.4369383164297,572.3187023542368
180.77284166476974,570.1352905931851
179.50564590165337,578.7320206556976
179.91941720233527,575.9743358827807
179.52205869584193,578.774542240832
179.5280810502963,578.7667838773386
180.76264184892264,570.7498643180636
180.7917964517133,570.5569023283704
179.50196354477805,579.6332824922478
179.5257410594832,579.5390320166078
180.86192154357394,570.7872782698471
180.78273700675248,571.5568756789738
180.66718184009306,572.3548540157594
180.74535031823322,571.8807160991535
180.85958152045185,571.1681495017833
180.8558991059635,571.218512061306
180.8410470099849,571.976243194397
179.50798588816727,581.3338408145303
180.88841834899233,572.3057676327896
180.6935573498784,573.9089528845437
182.40982589284607,562.6042829979284
180.69121732675634,574.28982411648
180.68753491226795,574.3401866760028
181.72334224265347,567.3959582172146
181.18646399748224,571.5153136971803
180.8592631575152,574.0063917739213
180.85692307203493,574.7501913916567
182.38878472157558,564.4604918838756
180.82095106467557,575.1334487344504
180.42434188746796,577.9593750462598
