CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,NORAD_KEY
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,TELSTAR 4 (TELSTAR 402R),1995-049A,EARTH,TEME,UTC,SGP4,2026-05-06T05:07:15.371040,1.00286869,0.000401,13.5534,12.9991,352.7596,204.1096,0,U,23670,999,11208,0.00000000000000,-0.00000192,0.0000000000000,42160.504,1435.881,35799.275,35765.463,PAYLOAD,LARGE,US,1995-09-24,FRGUI,,5177515,322305304,0 TELSTAR 4 (TELSTAR 402R),1 23670U 95049A   26126.21337235 -.00000192  00000-0  00000+0 0  9990,2 23670  13.5534  12.9991 0004010 352.7596 204.1096  1.00286869112088,23670
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,GORIZONT 25,1992-017A,EARTH,TEME,UTC,SGP4,2026-05-06T11:59:15.022752,0.99855511,0.0024792,13.5535,342.9066,112.6372,79.1425,0,U,21922,999,12452,0.00000000000000,-0.00000358,0.0000000000000,42281.834,1442.084,36008.524,35798.874,PAYLOAD,LARGE,CIS,1992-04-02,TTMTR,,5177461,322304630,0 GORIZONT 25,1 21922U 92017A   26126.49947943 -.00000358  00000-0  00000+0 0  9997,2 21922  13.5535 342.9066 0024792 112.6372  79.1425  0.99855511124521,21922
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,SBS 4,1984-093B,EARTH,TEME,UTC,SGP4,2026-05-06T06:21:34.677216,0.98764373,0.0007799,13.5919,342.0923,103.7837,246.9838,0,U,15235,999,4556,0.00000000000000,-0.00000139,0.0000000000000,42592.68,1458.016,36247.763,36181.327,PAYLOAD,LARGE,US,1984-08-30,AFETR,,5177273,322300776,0 SBS 4,1 15235U 84093B   26126.26498469 -.00000139  00000-0  00000+0 0  9998,2 15235  13.5919 342.0923 0007799 103.7837 246.9838  0.98764373 45567,15235
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,COSMOS 2209,1992-059A,EARTH,TEME,UTC,SGP4,2026-05-05T23:15:05.417280,1.00220411,0.0014657,13.6152,342.9523,328.6452,219.3934,0,U,22112,999,12319,0.00000000000000,-0.00000282,0.0000000000000,42179.14,1436.833,35862.827,35739.183,PAYLOAD,LARGE,CIS,1992-09-10,TTMTR,,5176958,322264328,0 COSMOS 2209,1 22112U 92059A   26125.96881270 -.00000282  00000-0  00000-0 0  9993,2 22112  13.6152 342.9523 0014657 328.6452 219.3934  1.00220411123197,22112
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,ARABSAT 1D (ANIK D2),1984-113B,EARTH,TEME,UTC,SGP4,2026-05-06T10:21:11.322720,0.98908535,0.0026673,13.6179,341.9624,26.6528,144.1204,0,U,15383,999,11443,0.00000000000000,-0.00000259,0.0000000000000,42551.283,1455.891,36286.645,36059.651,PAYLOAD,LARGE,AB,1984-11-08,AFETR,,5177369,322301978,0 ARABSAT 1D (ANIK D2),1 15383U 84113B   26126.43138105 -.00000259  00000-0  00000+0 0  9995,2 15383  13.6179 341.9624 0026673  26.6528 144.1204  0.98908535114437,15383
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,GALAXY 1,1983-065A,EARTH,TEME,UTC,SGP4,2026-05-06T11:07:51.657312,1.0012206,0.0002566,13.6294,341.985,329.3397,16.9125,0,U,14158,999,4620,0.00000000000000,-0.00000287,0.0000000000000,42206.758,1438.244,35839.453,35817.792,PAYLOAD,LARGE,US,1983-06-28,AFETR,,5177258,322300588,0 GALAXY 1,1 14158U 83065A   26126.46379233 -.00000287  00000-0  00000+0 0  9992,2 14158  13.6294 341.9850 0002566 329.3397  16.9125  1.00122060 46209,14158
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T07:56:53,18 SPCS,RADUGA 1-7,2004-010A,EARTH,TEME,UTC,SGP4,2026-05-05T20:12:41.619168,1.00196748,0.0004825,13.6297,21.1018,248.2179,296.4784,0,U,28194,999,8099,0.00000000000000,0.00000132,0.0000000000000,42185.781,1437.172,35828.0,35787.291,PAYLOAD,LARGE,CIS,2004-03-27,TTMTR,,5176806,322255557,0 RADUGA 1-7,1 28194U 04010A   26125.84214837  .00000132  00000-0  00000+0 0  9997,2 28194  13.6297  21.1018 0004825 248.2179 296.4784  1.00196748 80991,28194
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,GALAXY 2,1983-098A,EARTH,TEME,UTC,SGP4,2026-05-06T07:13:52.161024,1.00194799,0.0004373,13.6428,342.3001,85.8165,101.536,0,U,14365,999,13181,0.00000000000000,0.00000098,0.0000000000000,42186.328,1437.2,35826.641,35789.745,PAYLOAD,MEDIUM,US,1983-09-22,AFETR,,5177367,322302458,0 GALAXY 2,1 14365U 83098A   26126.30129816  .00000098  00000-0  00000+0 0  9990,2 14365  13.6428 342.3001 0004373  85.8165 101.5360  1.00194799131818,14365
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,COSMOS 2224,1992-088A,EARTH,TEME,UTC,SGP4,2026-05-06T09:35:53.170080,1.00244475,0.0006188,13.6592,348.2713,277.402,77.1049,0,U,22269,999,12166,0.00000000000000,-0.00000210,0.0000000000000,42172.39,1436.488,35820.351,35768.158,PAYLOAD,LARGE,CIS,1992-12-17,TTMTR,,5177471,322304754,0 COSMOS 2224,1 22269U 92088A   26126.39992095 -.00000210  00000-0  00000+0 0  9994,2 22269  13.6592 348.2713 0006188 277.4020  77.1049  1.00244475121663,22269
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,YAMAL 102,1999-047B,EARTH,TEME,UTC,SGP4,2026-05-06T00:55:00.409152,0.9998955,0.00047321,13.6596,13.0129,12.6493,160.1248,0,U,25897,999,9757,0.00000000000000,-0.00000294,0.0000000000000,42244.039,1440.15,35885.894,35845.913,PAYLOAD,LARGE,CIS,1999-09-06,TTMTR,,5176958,322265429,0 YAMAL 102,1 25897U 99047B   26126.03819918 -.00000294  00000-0  00000-0 0  9992,2 25897  13.6596  13.0129 0004732  12.6493 160.1248  0.99989550 97574,25897
